fid,Merged,xcoord,ycoord
"330",15,-0.256111111111111,51.4325
"331",13,-0.255555555555556,51.4325
"332",12,-0.255,51.4325
"333",11,-0.254444444444444,51.4325
"334",9,-0.253888888888889,51.4325
"335",10,-0.253333333333333,51.4325
"336",13,-0.252777777777778,51.4325
"337",16,-0.252222222222222,51.4325
"338",16,-0.251666666666667,51.4325
"339",16,-0.251111111111111,51.4325
"340",18,-0.250555555555556,51.4325
"341",19,-0.25,51.4325
"342",20,-0.249444444444444,51.4325
"343",21,-0.248888888888889,51.4325
"344",23,-0.248333333333333,51.4325
"345",25,-0.247777777777778,51.4325
"346",27,-0.247222222222222,51.4325
"347",29,-0.246666666666667,51.4325
"348",30,-0.246111111111111,51.4325
"349",30,-0.245555555555556,51.4325
"350",33,-0.245,51.4325
"351",37,-0.244444444444444,51.4325
"352",39,-0.243888888888889,51.4325
"353",40,-0.243333333333333,51.4325
"354",43,-0.242777777777778,51.4325
"355",47,-0.242222222222222,51.4325
"356",51,-0.241666666666667,51.4325
"357",53,-0.241111111111111,51.4325
"358",55,-0.240555555555556,51.4325
"359",57,-0.24,51.4325
"360",56,-0.239444444444444,51.4325
"361",53,-0.238888888888889,51.4325
"362",52,-0.238333333333333,51.4325
"363",54,-0.237777777777778,51.4325
"364",57,-0.237222222222222,51.4325
"365",56,-0.236666666666667,51.4325
"366",56,-0.236111111111111,51.4325
"367",54,-0.235555555555556,51.4325
"368",53,-0.235,51.4325
"369",55,-0.234444444444444,51.4325
"370",56,-0.233888888888889,51.4325
"371",57,-0.233333333333333,51.4325
"372",56,-0.232777777777778,51.4325
"373",57,-0.232222222222222,51.4325
"374",58,-0.231666666666667,51.4325
"375",57,-0.231111111111111,51.4325
"376",57,-0.230555555555556,51.4325
"377",59,-0.23,51.4325
"378",60,-0.229444444444444,51.4325
"379",58,-0.228888888888889,51.4325
"380",57,-0.228333333333333,51.4325
"381",59,-0.227777777777778,51.4325
"382",60,-0.227222222222222,51.4325
"383",61,-0.226666666666667,51.4325
"384",59,-0.226111111111111,51.4325
"385",58,-0.225555555555556,51.4325
"386",58,-0.225,51.4325
"387",58,-0.224444444444444,51.4325
"388",56,-0.223888888888889,51.4325
"389",55,-0.223333333333333,51.4325
"390",55,-0.222777777777778,51.4325
"391",55,-0.222222222222222,51.4325
"392",55,-0.221666666666667,51.4325
"393",55,-0.221111111111111,51.4325
"394",55,-0.220555555555556,51.4325
"395",53,-0.22,51.4325
"396",52,-0.219444444444444,51.4325
"397",50,-0.218888888888889,51.4325
"398",47,-0.218333333333333,51.4325
"399",44,-0.217777777777778,51.4325
"400",42,-0.217222222222222,51.4325
"401",39,-0.216666666666667,51.4325
"402",33,-0.216111111111111,51.4325
"403",28,-0.215555555555556,51.4325
